àbac	ábaco
abacà	
abadejo	
abadia	
abalisament	
abaltiment	
abampere	
abanderament	
abandó	
abandó escolar	
abandó escolar primerenc	
abandonament	
abaratiment	
abassegament	
abast	
abastament	
abat	abade
abatiment	
ABC	
abdicació	
abdomen	
abdominoplàstia	
abdominoplàstia	
abducció	
abecé	
abecedari	abecedário
abella	abelha
abellaire	
abellar	
abeller	
abellerol	
abelleta	
abellot	
aberració	
abertzalisme	
abeurador	
abillament	
abisme	
abjecció	
abjuració	
ablació	
ablatiu	
ablució	
ABN	
abnegació	
abocador	
abocament	
abolició	
abolicionisme	
abolicionista	
abominació	
abonament	
abonat	
abordament	
abordatge	
aborigen	
abortiu	
abr.	
abraçada	
abraçadora	
abrasament	
abrasímetre	
abrasió	
abrasiu	
abreujament	
abreviació	
abreviatura	
abric	casaco
abril	abril
abrivament	
abrogació	
ABS	
abscés	
abscissa	
absència	
absenta	absinto
absentisme	
àbsida	
absidiola	
absis	
absolució	
absolutisme	
absolutista	
absorbància	
absorbent	
absorbidor	
absorció	
absorciòmetre	
absorciometria	
absortivitat	
abstenció	
abstencionisme	
abstencionista	
abstinència	
abstinent	
abstracció	
abstraccionisme	
absurd	
absurditat	
abúlia	
abúlic	
abundament	
abundància	
aburgesament	
abús	
abusador	
abvolt	
AC	
acaballes	
acabament	
acabat	acabado
acabat	acabado
acabat	acabamento
acaçament	
acàcia	
acadèmia	
acadèmic	académico
acadèmic	académico
academicisme	
academicoinvestigador	
acadià	
acalàsia	
acalorament	
acampada	
acampador	
acampament	
acanada	
acant	
acantòcit	
acantonament	
acantosoma	
acaparador	
acaparament	
acapte	
àcar	
acarament	
acaricida	
acarnissament	
acatament	
ACB	
accadi	
acceleració	
accelerada	
accelerador	
accelerament	
accelerògraf	
acceleròmetre	
accent	
accentuació	
accepció	
acceptabilitat	
acceptació	
acceptant	
acceptor	
accés	
accessibilitat	
accessió	
accèssit	
accessori	
accident	
accidentalitat	
accident de trànsit	
acció	
acció amb prima	
acció d'or	
accionador	
accionament	
accionariat	
accionista	
accipítrid	
aceclofenac	
acèfal	
acefàlia	
acer	aço
aceració	
acerbitat	
acereria	
acetàbul	
acetal	
acetamida	
acetat	
acetificació	
acetil	
acetilcolina	
acetilè	
acetilglucosamina	
acetilur	
acetoacetat	
acetofenona	
acetona	
acetonèmia	
àcid	
acidesa	
acidificació	
acidímetre	
acidosi	
acilglicèrid	
acinèsia	
aclamació	
aclaparament	
aclarida	
aclariment	
aclimatació	
aclotadora	
aclucalls	
ACM	
acme	
acne	
acnode	
Acnur	
acoblador	
acoblament	
acòlit	
acollida	
acolliment	
acomiadament	
acomodació	
acomodament	
acompanyament	
acompanyant	
acompliment	
acompte	
acondroplàsia	
acònit	
aconitina	
aconseguiment	
acord	
acordió	
acordionista	
acord marc	
acordonament	
acord social	
acorralament	
acostament	
acotació	
acotament	
acquis	
àcrata	
acre	
acreció	
acreditació	
acreixement	
acridina	
acrilamida	
acrilat	
acrimònia	
acritud	
acrobàcia	
acròbata	
acrobatisme	
acrocefàlia	
acrocianosi	
acrodínia	
acrofòbia	acrofobia
acroïta	
acroleïna	
acromatisme	
acromatòpsia	
acromegàlia	
acromi	
acromia	
àcron	
acrònim	acronimo
acronímia	
acroparestèsia	
acròpoli	
acrosoma	
acròstic	
acroteri	
ACS	
acta	
acte	
actina	
actini	actínio
actínid	
actinisme	
actinó	
actinògraf	
actinograma	
actinolita	
actinologia	
actinòmetre	
actinometria	
actinomicet	
actinomicina	
actinomicosi	
actinopterigi	
actinota	
actitud	
actiu	
activació	
activador	
activisme	
activista	
activitat	
actomiosina	
actor	
actuació	
actuació en nom d'altri	
actuador	
actualisme	
actualitat	
actualització	
actuari	
acudit	
acuïtat	
aculturació	
acúmetre	
acumetria	
acumulació	
acumulació de processos	
acumulador	
ACUP	
acupuntor	
acupuntura	acupuntura
acusació	
acusador	
acusament	
acusament de recepció	
acusat	
acusatiu	
acuseta	
acústica	
acutangle	
adagi	
adamisme	
adamita	
adaptabilitat	
adaptació	
adaptador	
adarb	
addenda	
addicció	
addició	
addicionalitat	
addicte	
additament	
additiu	
additivitat	
adducció	
adenina	
adenoma	
adenopatia	
adenosina	
adenosinatrifosfat	
adepte	
adequació	
adherència	
adhesió	
adhesiu	
adhesivitat	
adiabatisme	
adiafòria	
adiant	
adiguès	
adinàmia	
adipòcit	
adiposi	
adipositat	
adípsia	
adj.	
adjacència	
adjectiu	adjectivo
adjectivació	
adjudicació	
adjudicatari	
adjunció	
adjunt	
adjuració	
adjutor	
ADL	
adlàter	
adm.	
admdor.	
admdora.	
adminicle	
administrabilitat	
administració	
administració i direcció	
administrador	
administrat	
administratiu	
admiració	
admirador	
admissibilitat	
admissió	
admitància	
admixtió	
admonició	
ADN	
adob	
adobadora	
adobament	
adober	
adoberia	
adoctrinament	
adolescència	
adolescent	
adopció	
adoptant	
adoptat	
adoració	
adorador	
adormiment	
adorn	
adornament	
adquisició	
adreç	
adreça	endereço
adreçament	
adreça postal	
adrenalectomia	
adrenalina	
adrogueria	
adscripció	
ADSL	
adsorbent	
adsorció	
adstrat	
adulació	
adulador	
adulària	
adult	adulto
adúlter	
adulteració	
adulteri	
adultesa	
advecció	
adveniment	
advent	
adventisme	
adventista	
adveració	
adverbi	advérbio
adverbialització	
adversari	
adversitat	
advertència	
advertiment	
advocacia	
advocació	
advocat	advogado
AEA	
AECI	
aede	
AEK	
AEPD	
aeració	
aeràulica	
aerobi	
aeròbic	
aerobiosi	
aerocist	
aeroclub	
aerocòlia	
aerodina	
aerodinàmica	
aerodistorsió	
aeròdrom	
aeroelasticitat	
aerofagia	
aerofàgia	
aerofòbia	
aeròfon	
aerogel	
aerogenerador	
aerògraf	
aerolínia	
aeròlit	
aerolliscador	
aerologia	
aeromància	
aeròmetre	
aerometria	
aeromodel	
aeromodelisme	
aeromotor	
aeronau	aeronave
aeronauta	
aeronàutica	aeronáutica
aeronavegabilitat	
aeronomia	
aeroplà	
aeroport	aeroporto
aeroscopi	
aerosol	
aerostació	
aeròstat	
aerotècnia	
aeroteràpia	
aerotrèn	
afabilitat	
afabulació	
afaitada	
afalac	
afany	
afàsia	
afàsia paroxística	
afàsic	
afavoriment	
afebliment	
afecció	
afeccionat	
afectació	
afectat	
afecte	afeto
afectivitat	
afectuositat	
afegiment	
afegit	
afegitó	
afeli	
afer	
aferència	
afèresi	
aferrament	
afganès	
afició	
aficionat	
afidàvit	
afilador	
afiladura	
afiliació	
afiliat	
afillament	
afinació	
afinador	
afinament	
afinitat	
afirmació	
afix	
afixació	
aflatoxina	
aflicció	
aflonjament	
aflorament	
afluència	
afluent	
afluixament	
aflux	
afonia	
afonització	
aforament	
afores	
aforestació	
aforisme	
afortunat	
AFP	
afranquiment	
africà	
africació	
africada	
africanisme	
afrikaans	africano
afroamericà	
afroasiàtic	
afrodisíac	
afront	
afrontament	
afta	
afusellament	
afusió	
ag.	
agafador	
agafament	
agakan	
agàmid	
àgape	
agapeta	
agàric	
agarosa	
àgata	
agave	
agençament	
agència	
agenda	agenda
agenesi	
agenollador	
agenollament	
agent	
agent antidisturbis	
agent de borsa	
agent de circulació	
agermanament	
aggiornamento	
agilitació	
agilitat	
agilització	
àgio	
agiotatge	
agitació	
agitador	
aglomeració	
aglomerant	
aglutinació	
aglutinament	
aglutinina	
agnació	
agnat	
àgnat	
agnòsia	
agnòstic	
agnosticisme	
agnus dei	
agògica	
agonia	
agonista	
agonitzant	
àgora	
agorafòbia	
agost	agosto
agostejament	
agrafia	
agraïment	
agramatisme	
agranulocitosi	
agregació	
agregadoria	
agregat	
agregat militar	
agrella	
agremiació	
agremiat	
agresa	
agressió	
agressivitat	
agressor	
agreujament	
agreujant	
agricultor	
agricultura	
agrimensor	
agrimensura	
agrimònia	
agroalimentació	
agroambient	
agrodiversitat	
agroecologia	
agroindústria	
agrologia	
agrònom	
agronomia	
agrostis	
agroturisme	
agrupació	
agrupament	
aguait	
aguant	
agudesa	
agudització	
aguerriment	
àguila	
aguileta	
aguiló	
agulla	agulha
agulla de cap	
agulla de metall	
agulló	
agustí	
agut	
agutí	
agutzil	
AI	
aiatol·là	
aigua	água
aigua corrent	
aigua de mar	
aiguader	
aigua dolça	
aiguafort	
aiguafortista	
aigua freàtica	
aigualeig	
aiguamarina	
aigua marina	
aiguamel	
aiguamoll	
aiguaneu	
aigua potable	
aiguardent	
aigua residual	
aiguarràs	
aigua salada	
aigua sulfatada	
aiguat	
aiguatinta	
aiguavés	
aigüera	
aikido	
aïllacionisme	
aïllador	
